epoch,global_step,total_loss,spectrum_loss,ssim_loss,rfi_loss,detection_loss,alpha,beta,gamma,delta
0,1,1.000000,1.000000,1.009991,0.980858,1.444735,1.0000,0.0000,0.0000,0.0000
0,51,0.122913,0.077784,0.840468,0.980381,1.323203,0.9500,0.0500,0.0000,0.0000
0,101,0.140616,0.096691,0.775920,0.975192,1.419576,0.9500,0.0500,0.0000,0.0000
0,151,0.065877,0.065877,0.755204,0.977181,1.314698,1.0000,0.0000,0.0000,0.0000
1,231,0.124839,0.079722,0.818113,0.982074,1.409124,0.9500,0.0500,0.0000,0.0000
1,281,0.134240,0.090069,0.366335,0.973490,1.131875,0.9500,0.0500,0.0000,0.0000
1,331,0.103850,0.067568,0.607088,0.974620,1.311513,0.9600,0.0400,0.0000,0.0000
1,381,0.199601,0.158667,0.367071,0.977344,1.666401,0.9500,0.0500,0.0000,0.0000
2,461,0.141186,0.097048,0.299147,0.979811,1.218472,0.9500,0.0500,0.0000,0.0000
2,511,0.114564,0.059650,0.525100,0.974873,1.216824,0.9400,0.0600,0.0000,0.0000
2,561,0.106259,0.060596,0.318308,0.973872,0.863527,0.9500,0.0500,0.0000,0.0000
2,611,0.121908,0.095155,0.463779,0.973654,1.127814,0.9695,0.0305,0.0000,0.0000
3,691,0.154893,0.138097,0.399925,0.977924,1.215190,0.9800,0.0200,0.0000,0.0000
3,741,0.206939,0.071601,0.230358,0.973853,1.039669,0.8500,0.1500,0.0000,0.0000
3,791,0.113727,0.077763,0.281995,0.976870,1.127120,0.9600,0.0400,0.0000,0.0000
3,841,0.142182,0.142182,0.237890,0.971933,1.388647,1.0000,0.0000,0.0000,0.0000
4,921,0.147254,0.103700,0.237055,0.974777,1.388224,0.9500,0.0500,0.0000,0.0000
4,971,0.108260,0.081124,0.209354,0.972184,1.387864,0.9695,0.0305,0.0000,0.0000
4,1021,0.151629,0.151629,0.239791,0.980429,1.387584,1.0000,0.0000,0.0000,0.0000
4,1071,0.181294,0.139708,0.258873,0.971423,1.387348,0.9500,0.0500,0.0000,0.0000
4,921,0.196437,0.083380,0.222751,0.977745,1.213956,1.0000,0.0000,0.0000,0.1000
4,971,0.221518,0.075031,0.309706,0.974085,1.135331,0.9500,0.0500,0.0000,0.1000
4,1021,0.278068,0.178003,0.251741,0.979690,1.178654,1.0000,0.0000,0.0000,0.1000
4,1071,0.248142,0.101242,0.320940,0.979767,1.174902,0.9500,0.0500,0.0000,0.1000
5,1151,0.218886,0.071471,0.211874,0.972473,1.140166,0.9500,0.0500,0.0000,0.1000
5,1201,0.177963,0.057744,0.163888,0.972915,1.095207,0.9800,0.0200,0.0000,0.1000
5,1251,0.210225,0.068103,0.220955,0.977274,1.080189,0.9500,0.0500,0.0000,0.1000
5,1301,0.200667,0.044395,0.222329,0.976042,1.187875,0.9500,0.0500,0.0000,0.1000
6,1381,0.192412,0.091719,0.236885,0.980994,1.098643,1.0000,0.0000,0.0000,0.1000
6,1431,0.275862,0.143984,0.478473,0.975742,1.088468,0.9500,0.0500,0.0000,0.1000
6,1481,0.197856,0.033205,0.241833,0.978403,1.339444,0.9600,0.0400,0.0000,0.1000
6,1531,0.230742,0.129763,0.137087,0.972056,1.139551,1.0000,0.0000,0.0000,0.1000
7,1611,0.196627,0.046906,0.142376,0.977538,1.125333,0.9500,0.0500,0.0000,0.1000
7,1661,0.294686,0.176320,0.151256,0.970944,1.002397,0.9500,0.0500,0.0000,0.1000
7,1711,0.178391,0.084917,0.222375,0.980798,1.019659,1.0000,0.0000,0.0000,0.1000
7,1761,0.214779,0.059947,0.345201,0.975589,1.196226,0.9500,0.0500,0.0000,0.1000
8,1841,0.201849,0.091398,0.146100,0.976311,0.956978,0.9700,0.0300,0.0000,0.1000
8,1891,0.249846,0.179751,0.382267,0.977063,0.880699,1.0000,0.0000,0.0000,0.1000
8,1941,0.204996,0.087792,0.131284,0.975843,0.860218,0.9500,0.0500,0.0000,0.1000
8,1991,0.178726,0.081445,0.210608,0.975673,0.651850,0.9500,0.0500,0.0000,0.1000
9,2071,0.163873,0.076211,0.162768,0.975962,0.952830,1.0000,0.0000,0.0000,0.1000
9,2121,0.235690,0.057034,0.207128,0.975291,0.840676,0.8786,0.1214,0.0000,0.1000
9,2171,0.180035,0.062980,0.225930,0.974561,0.823314,0.9500,0.0500,0.0000,0.1000
9,2221,0.148507,0.058444,0.142280,0.978383,0.793477,0.9800,0.0200,0.0000,0.1000
10,2301,0.139474,0.064591,0.139279,0.972358,0.404925,0.9500,0.0500,0.0000,0.1000
10,2351,0.208670,0.106968,0.156841,0.973412,0.886516,0.9695,0.0305,0.0000,0.1000
10,2401,0.130660,0.084874,0.150855,0.971229,0.542731,1.0000,0.0000,0.0000,0.1000
10,2451,0.167906,0.082873,0.156886,0.980155,0.529424,0.9500,0.0500,0.0000,0.1000
11,2531,0.177850,0.084567,0.386238,0.972030,0.618040,0.9500,0.0500,0.0000,0.1000
11,2581,0.092650,0.052886,0.132398,0.975865,0.450530,1.0000,0.0000,0.0000,0.1000
11,2631,0.264832,0.099369,0.184837,0.977784,0.478375,0.8386,0.1614,0.0000,0.1000
11,2681,0.194235,0.068024,0.140103,0.976133,0.431110,0.8900,0.1100,0.0000,0.1000
12,2761,0.101049,0.078468,0.159301,0.974258,0.304286,1.0000,0.0000,0.0000,0.1000
12,2811,0.151698,0.057191,0.157972,0.971823,0.171666,0.8991,0.1009,0.0000,0.1000
12,2861,0.182035,0.111163,0.156056,0.976543,0.430469,0.9500,0.0500,0.0000,0.1000
12,2911,0.169229,0.130094,0.165673,0.972939,0.521443,1.0000,0.0000,0.0000,0.1000
13,2991,0.174401,0.076814,0.290156,0.976885,0.647645,0.9500,0.0500,0.0000,0.1000
13,3041,0.111402,0.056788,0.109353,0.980037,0.349891,0.9695,0.0305,0.0000,0.1000
13,3091,0.083105,0.056919,0.196331,0.977018,0.318776,1.0000,0.0000,0.0000,0.1000
13,3141,0.123998,0.059372,0.157151,0.977688,0.292391,0.9500,0.0500,0.0000,0.1000
14,3221,0.221039,0.120682,0.252200,0.972847,0.740782,0.9500,0.0500,0.0000,0.1000
14,3271,0.129366,0.081416,0.393364,0.973663,0.560917,1.0000,0.0000,0.0000,0.1000
14,3321,0.195379,0.121526,0.419919,0.978855,0.474263,0.9500,0.0500,0.0000,0.1000
14,3371,0.182801,0.083291,0.199894,0.977973,0.675786,0.9500,0.0500,0.0000,0.1000
15,3451,0.110351,0.091745,0.186713,0.972325,0.277807,1.0000,0.0000,0.0000,0.1000
15,3501,0.194739,0.140192,0.115908,0.972221,0.311248,0.9500,0.0500,0.0000,0.1000
15,3551,0.160697,0.079573,0.171977,0.978634,0.486236,0.9500,0.0500,0.0000,0.1000
15,3601,0.104715,0.070713,0.183050,0.974341,0.329411,0.9900,0.0100,0.0000,0.1000
16,3681,0.200934,0.136474,0.164930,0.973034,0.404622,0.9500,0.0500,0.0000,0.1000
16,3731,0.188313,0.102063,0.171185,0.979857,0.569556,0.9500,0.0500,0.0000,0.1000
16,3781,0.059491,0.048120,0.147547,0.978259,0.161828,1.0000,0.0000,0.0000,0.1000
16,3831,0.149199,0.083958,0.140674,0.979044,0.333578,0.9500,0.0500,0.0000,0.1000
17,3911,0.100715,0.043837,0.141682,0.976670,0.192840,0.9500,0.0500,0.0000,0.1000
17,3961,0.164992,0.143809,0.137382,0.973900,0.355637,1.0000,0.0000,0.0000,0.1000
17,4011,0.151114,0.046941,0.144974,0.976931,0.244133,0.8991,0.1009,0.0000,0.1000
17,4061,0.158759,0.108058,0.262293,0.975386,0.224778,0.9500,0.0500,0.0000,0.1000
18,4141,0.094553,0.039768,0.252403,0.978912,0.587621,1.0000,0.0000,0.0000,0.1000
18,4191,0.146259,0.071775,0.093220,0.972453,0.411304,0.9500,0.0500,0.0000,0.1000
18,4241,0.130458,0.060470,0.211188,0.974606,0.348985,0.9500,0.0500,0.0000,0.1000
18,4291,0.091944,0.069697,0.162235,0.974896,0.292164,1.0000,0.0000,0.0000,0.1000
19,4371,0.141479,0.100588,0.145440,0.969479,0.118501,0.9500,0.0500,0.0000,0.1000
19,4421,0.131470,0.059175,0.217164,0.977331,0.530477,0.9695,0.0305,0.0000,0.1000
19,4471,0.174273,0.087281,0.137396,0.976838,0.957195,1.0000,0.0000,0.0000,0.1000
19,4521,0.166401,0.072929,0.171498,0.979277,0.599789,0.9500,0.0500,0.0000,0.1000
20,4601,0.248000,0.082229,0.114968,0.975329,1.338040,0.9500,0.0500,0.0000,0.1000
20,4651,0.166903,0.034790,0.202025,0.977632,0.588370,0.9095,0.0905,0.0000,0.1000
20,4701,0.107143,0.048823,0.370712,0.979312,0.213305,0.9500,0.0500,0.0000,0.1000
20,4751,0.138849,0.084820,0.116766,0.977293,0.296584,0.9591,0.0409,0.0000,0.1000
21,4831,0.051672,0.035395,0.114206,0.974840,0.198171,1.0000,0.0000,0.0000,0.1000
21,4881,0.137081,0.079956,0.119071,0.977212,0.247437,0.9500,0.0500,0.0000,0.1000
21,4931,0.185678,0.137601,0.123671,0.973404,0.242262,0.9500,0.0500,0.0000,0.1000
21,4981,0.133585,0.115685,0.133352,0.974781,0.294689,1.0000,0.0000,0.0000,0.1000
22,5061,0.108144,0.055863,0.204036,0.971840,0.166486,0.9500,0.0500,0.0000,0.1000
22,5111,0.218473,0.122989,0.250112,0.977386,0.693347,0.9500,0.0500,0.0000,0.1000
22,5161,0.050668,0.042389,0.094899,0.977563,0.125187,1.0000,0.0000,0.0000,0.1000
22,5211,0.124007,0.072060,0.124457,0.976427,0.184565,0.9500,0.0500,0.0000,0.1000
23,5291,0.106668,0.059226,0.118722,0.976084,0.121062,0.9500,0.0500,0.0000,0.1000
23,5341,0.042801,0.032628,0.107656,0.969569,0.134355,1.0000,0.0000,0.0000,0.1000
23,5391,0.210070,0.034099,0.094555,0.971640,0.528136,0.8500,0.1500,0.0000,0.1000
23,5441,0.084353,0.039354,0.104473,0.975141,0.068236,0.9500,0.0500,0.0000,0.1000
24,5521,0.090823,0.055259,0.158348,0.974714,0.410900,1.0000,0.0000,0.0000,0.1000
24,5571,0.105986,0.036852,0.136871,0.978432,0.304483,0.9500,0.0500,0.0000,0.1000
24,5621,0.137192,0.087874,0.098941,0.968422,0.184814,0.9500,0.0500,0.0000,0.1000
24,5671,0.055829,0.050641,0.091312,0.973573,0.102520,1.0000,0.0000,0.0000,0.1000
25,5751,0.093700,0.044230,0.110308,0.976654,0.119339,0.9500,0.0500,0.0000,0.1000
25,5801,0.099653,0.039978,0.082360,0.977953,0.214637,0.9500,0.0500,0.0000,0.1000
25,5851,0.093038,0.042018,0.093823,0.978285,0.552213,1.0000,0.0000,0.0000,0.1000
25,5901,0.223091,0.035336,0.081819,0.973279,0.554641,0.8391,0.1609,0.0000,0.1000
26,5981,0.076720,0.024050,0.090708,0.977408,0.199806,0.9591,0.0409,0.0000,0.1000
26,6031,0.063804,0.056798,0.101705,0.974383,0.126857,1.0000,0.0000,0.0000,0.1000
26,6081,0.104075,0.053799,0.067904,0.975663,0.141722,0.9500,0.0500,0.0000,0.1000
26,6131,0.082995,0.024551,0.064815,0.973923,0.181781,0.9500,0.0500,0.0000,0.1000
27,6211,0.049907,0.041406,0.140905,0.974554,0.126419,1.0000,0.0000,0.0000,0.1000
27,6261,0.102160,0.059085,0.106787,0.972640,0.078737,0.9500,0.0500,0.0000,0.1000
27,6311,0.081719,0.034263,0.074072,0.979495,0.083471,0.9500,0.0500,0.0000,0.1000
27,6361,0.059908,0.053536,0.081404,0.972957,0.117259,1.0000,0.0000,0.0000,0.1000
28,6441,0.149692,0.054830,0.159260,0.975862,0.588984,0.9500,0.0500,0.0000,0.1000
28,6491,0.093920,0.051476,0.145817,0.977849,0.059055,0.9500,0.0500,0.0000,0.1000
28,6541,0.076997,0.059574,0.098187,0.972863,0.069419,0.9800,0.0200,0.0000,0.1000
28,6591,0.133003,0.084422,0.090708,0.976299,0.168888,0.9500,0.0500,0.0000,0.1000
29,6671,0.094156,0.041805,0.058970,0.970739,0.147299,0.9500,0.0500,0.0000,0.1000
29,6721,0.092409,0.077235,0.083064,0.979124,0.228977,1.0000,0.0000,0.0000,0.1000
29,6771,0.109243,0.036835,0.068950,0.974989,0.111505,0.9231,0.0769,0.0000,0.1000
29,6821,0.167147,0.091707,0.078784,0.976136,0.448107,0.9500,0.0500,0.0000,0.1000
30,6901,0.096725,0.099679,0.059737,0.976321,0.070134,1.0000,0.0000,0.0000,0.1000
30,6951,0.084821,0.041002,0.070565,0.976440,0.058246,0.9500,0.0500,0.0000,0.1000
30,7001,0.054250,0.028544,0.098924,0.978449,0.025259,0.9695,0.0305,0.0000,0.1000
30,7051,0.062807,0.040809,0.091923,0.974805,0.260791,1.0000,0.0000,0.0000,0.1000
31,7131,0.088417,0.032521,0.067428,0.970252,0.169503,0.9500,0.0500,0.0000,0.1000
31,7181,0.085377,0.028787,0.160543,0.976489,0.168221,0.9500,0.0500,0.0000,0.1000
31,7231,0.056024,0.036235,0.138909,0.976983,0.234127,1.0000,0.0000,0.0000,0.1000
31,7281,0.082532,0.035346,0.061877,0.977652,0.083170,0.9500,0.0500,0.0000,0.1000
32,7361,0.176320,0.082934,0.108257,0.974150,0.615746,0.9500,0.0500,0.0000,0.1000
32,7411,0.065581,0.056652,0.077729,0.975967,0.145941,1.0000,0.0000,0.0000,0.1000
32,7461,0.127321,0.087412,0.104456,0.976183,0.086556,0.9500,0.0500,0.0000,0.1000
32,7511,0.077659,0.032502,0.072547,0.974087,0.060355,0.9500,0.0500,0.0000,0.1000
33,7591,0.028268,0.026724,0.114911,0.973396,0.042162,1.0000,0.0000,0.0000,0.1000
33,7641,0.096585,0.048235,0.070992,0.978485,0.113123,0.9500,0.0500,0.0000,0.1000
33,7691,0.149068,0.050741,0.082860,0.975512,0.284948,0.9100,0.0900,0.0000,0.1000
33,7741,0.053682,0.054145,0.092263,0.977584,0.049514,1.0000,0.0000,0.0000,0.1000
34,7821,0.118765,0.047161,0.066622,0.972809,0.346663,0.9500,0.0500,0.0000,0.1000
34,7871,0.092766,0.045161,0.088275,0.976843,0.101954,0.9500,0.0500,0.0000,0.1000
34,7921,0.122871,0.102435,0.070283,0.975805,0.306799,1.0000,0.0000,0.0000,0.1000
34,7971,0.092359,0.035243,0.123061,0.978918,0.181752,0.9500,0.0500,0.0000,0.1000
35,8051,0.079833,0.039279,0.050444,0.972808,0.108747,0.9600,0.0400,0.0000,0.1000
35,8101,0.041277,0.038473,0.090844,0.970269,0.066520,1.0000,0.0000,0.0000,0.1000
35,8151,0.123251,0.036035,0.061682,0.974638,0.055829,0.8991,0.1009,0.0000,0.1000
35,8201,0.108614,0.062177,0.091788,0.976411,0.115138,0.9500,0.0500,0.0000,0.1000
