epoch,global_step,total_loss,spectrum_loss,rfi_loss,alpha,beta
0,1,0.896064,0.620803,0.886241,0.918983,0.7000,0.3000
0,51,0.771005,0.416482,0.641544,0.922155,0.5386,0.4614
0,101,0.622480,0.285085,0.463335,0.918034,0.6500,0.3500
0,151,1.126122,0.257134,1.177880,0.919092,0.8000,0.2000
1,231,0.926793,0.303874,0.938671,0.912675,0.5431,0.4569
1,281,0.507017,0.213594,0.340760,0.916750,0.7114,0.2886
1,331,0.933188,0.211649,0.937605,0.915523,0.8000,0.2000
1,381,0.925983,0.262180,0.932126,0.914576,0.6500,0.3500
2,461,0.635745,0.237585,0.487675,0.910733,0.6500,0.3500
2,511,1.239095,0.199985,1.321486,0.909528,0.8000,0.2000
2,561,0.595901,0.228259,0.429302,0.905301,0.6500,0.3500
2,611,0.842194,0.283178,0.805488,0.910362,0.6500,0.3500
3,691,0.625497,0.188718,0.392728,0.909993,0.5500,0.4500
3,741,0.432448,0.141315,0.143629,0.909903,0.6231,0.3769
3,791,0.550846,0.269833,0.355973,0.912753,0.6500,0.3500
3,841,0.374364,0.245598,0.230355,0.909051,0.7878,0.2122
4,921,0.719019,0.198599,0.561266,0.905844,0.5422,0.4578
4,971,0.755035,0.208079,0.672586,0.908156,0.6500,0.3500
4,1021,0.545907,0.205942,0.321378,0.896426,0.6095,0.3905
4,1071,0.531160,0.175963,0.215421,0.906447,0.5431,0.4569
5,1151,0.524683,0.267335,0.323711,0.897919,0.6500,0.3500
5,1201,0.584218,0.225114,0.506063,0.896839,0.8000,0.2000
5,1251,0.606341,0.219492,0.363555,0.893870,0.5422,0.4578
5,1301,0.466297,0.229543,0.234011,0.897687,0.6500,0.3500
6,1381,0.897213,0.158769,0.897675,0.895364,0.8000,0.2000
6,1431,0.615070,0.298011,0.448743,0.890030,0.6231,0.3769
6,1481,0.544221,0.197487,0.360553,0.885319,0.6500,0.3500
6,1531,0.762661,0.263923,0.732911,0.881658,0.8000,0.2000
7,1611,0.519984,0.269755,0.271621,0.891132,0.5991,0.4009
7,1661,0.552158,0.288727,0.369240,0.891862,0.6500,0.3500
7,1711,0.632478,0.212742,0.568157,0.889761,0.8000,0.2000
7,1761,0.788149,0.250887,0.712033,0.888860,0.5695,0.4305
8,1841,0.921965,0.206885,0.939828,0.888793,0.6500,0.3500
8,1891,0.553691,0.248132,0.470268,0.887384,0.8000,0.2000
